"site_reach","site","field_date","sample_type","anabaena_and_cylindrospermum","ankistrodesmus","aphanothece","calothrix","chantransia","chroococcus","cladophora","closterium","coelastrum","cosmarium","desmodesmus_spines","epithemia","euglenoid","geitlerinema","gloeocystis","gloeotrichia","homoeothrix","lacunastrum","leptolyngbya","lyngbya","microcoleus","mougeotia","non_algal","non_e_r_diatoms","nostoc","oedogonium","oocystis","oscillatoria","other_coccoids","pediastrum","phormidium_unknown","rhopalodia","rivularia","scenedesmus_no_spines","scytonema","spirogyra","stauridium","stigeoclonium","tetraedron","tolypothrix","ulothrix","unknown","unknown_green_algae","zygnema","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","TM_ATX_all_ug_chla_ug","TM_ATX_all_ug_orgmat_g","TAC_ATX_all_ug_chla_ug","TAC_ATX_all_ug_orgmat_g"
"SAL-1S","SAL","2022-07-26","NT",0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.4,0,0,2,0,0.2,0,75.86,0,16.4,3.4,0,0,0,0,1.42,0,0,0,0,0.02,0,0,0,0.24,0,0,0,0,0.02,0,NA,21.41,8.59,121.2,7.264,0.011,0.00743,7.72,10.64,1.096,1.42,4.09,0.05,2.85,0.8,3.89,16.94,1.35e-05,0.1131544,NA,NA
"SAL-1S","SAL","2022-09-22","NT",0.5,0.025,0,0,0,0.25,1.25,0,0.025,0,0,7,0,1.25,0,0,0.075,0,0,0,0.25,10.75,12.5,10.5,0,18,0.025,0.05,3.5,0,0,0,0,0.025,0,33.275,0,0,0,0,0,0,0,0.75,7.72,16.59,NA,124,8.037,0.009,0.00876,7.72,9.426,0.3502,1.55,3.02,0.05,2.24,0.6,3.15,14,NA,NA,NA,NA
"SAL-1S","SAL","2023-06-28","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33333333333333,0,0.0666666666666667,0,86.5666666666667,7.33333333333333,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.81,16.1,9.22,82.7,4.96,0.026,0.00466,7.81,5.589,1.442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAL-1S","SAL","2023-07-13","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66666666666667,0,0,0,93.7333333333333,4.33333333333333,0,0,0,0,0.233333333333333,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,7.81,18.7,9.12,100.1,4.702,0.009,0.004885,7.81,5.766,1.609,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"SAL-1S","SAL","2023-07-27","NT",0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0.0333333333333333,0,0.0333333333333333,0,0,0,0,1.33333333333333,0,6,0,83.1666666666667,9,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.82,20.3,8.61,109.5,5.296,0.023,0.00477,7.82,7.566,0.957,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"SAL-1S","SAL","2023-08-10","NT",0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0.0333333333333333,0,0,0.366666666666667,0,2,0,32,0,34.5,29.6,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0.366666666666667,0,0,0,0,0,0,7.9,20.6,8.66,127.4,6.826,0.011,0.00339,7.9,6.123,0.543,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"SAL-2","SAL","2022-07-12","NT",0,0,0,0,0,0.0666666666666667,0,0,0,0,0.0333333333333333,0.0666666666666667,0,0.666666666666667,0,0,1.03333333333333,0,0.0333333333333333,0,0.0333333333333333,0,93.9,3.66666666666667,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,NA,21.64,9.171,110.6,5.8,0.024,0.01026,8.35,7.347,0.7916,1.09,3.73,0.05,2.48,0.73,3.49,14.36,0,0,NA,NA
"SAL-2","SAL","2022-07-26","NT",0,0,0,0,0,0,13.6333333333333,0,0,0,0.2,1.33333333333333,0,1.66666666666667,0,0,1.33333333333333,0,5,0.0333333333333333,33.3666666666667,3,19.3333333333333,14.6666666666667,0,2.33333333333333,0,0.0333333333333333,1.33333333333333,0,0,0.333333333333333,0,0.0333333333333333,0,0,0,2.33333333333333,0,0,0.0333333333333333,0,0,0,NA,21.52,9.069,120.6,5.851,0.011,0.008085,8.35,9.362,1.025,1.41,3.72,0.03,2.82,0.81,4.24,12.33,0,0,NA,NA
"SAL-2","SAL","2022-09-22","NT",0,0,0,0,0,0.025,13.75,0,0,0,0.025,13.25,0,1,0,0,0.325,0,3,0,0.025,9.25,8.4,19.25,0,7.425,0,0.025,1.5,0,0,3.25,0,0,0.025,19.15,0.05,0,0,0.025,0.25,0,0,0,8.35,18.25,NA,125.5,4.9905,0.014,0.01177,8.35,8.67,0.5491,2.27,4.47,0.05,3.32,0.91,4.43,13.51,NA,NA,NA,NA
"SAL-2","SAL","2023-06-28","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0.0333333333333333,0,0,0,0,1,0,0,0,95.8333333333333,3,0,0,0,0,0.1,0,0,0,0,0.0333333333333333,0,0,0,0,0,0,0,0,0,0,7.82,16.8,9.07,82.6,4.899,0.041,0.00372,7.82,6.813,1.838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
