"site_reach","site","field_date","sample_type","aphanothece","calothrix","chroococcus","e_diatoms","geitlerinema","gloeotrichia","green_algae","homoeothrix","leptolyngbya","lyngbya","microcoleus","nodularia","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","rivularia","scytonema","tolypothrix","unknown","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","ATXa_ug_g","dhATXa_ug_g","HTXa_ug_g","ATX_all_ug_g","Chla_ug_g","Pheo_ug_g","percent_organic_matter","ATX_all_ug_chla_ug","ATX_all_ug_orgmat_g"
"SFE-M-1S","SFE-M","2023-07-24","TAC",0,0,0,20.8333333333333,10.1190476190476,0,45.8333333333333,0,0,0,0,0,17.2619047619048,0,0,4.16666666666667,0,1.78571428571429,0,0,0,8.66,23.4,10.76,206,3.588,0.0125,0.00081,8.66,10.91,0.7795,NA,NA,NA,NA,NA,NA,NA,0.083,0.049,0,0.132,4811.33496579236,751.492553568943,40.06,2.74e-05,0.3295057
"SFE-M-1S","SFE-M","2023-07-31","TAC",0,0,1.06490872210953,22.3123732251521,4.05679513184585,0,28.9046653144016,4.05679513184585,9.12778904665315,0,9.63488843813388,0.0507099391480731,16.2271805273834,0,0,4.56389452332657,0,0,0,0,0,8.5,23,9.09,209,3.506,0.013,0.00285,8.5,10.18,2.411,NA,NA,NA,NA,NA,NA,NA,6.144,1.024,0,7.168,5725.39476215476,1068.31659527444,41.28,0.001252,17.3643411
"SFE-M-1S","SFE-M","2023-08-07","TAC",0,0.0628535512256442,0,20.7416719044626,11.313639220616,0,22.6272784412319,0,0,0,4.39974858579509,0,12.5707102451288,0,0,6.28535512256442,0,21.9987429289755,0,0,0,8.25,23.4,7.55,235,3.991,0.017,0.00605,8.25,9.754,0.554,NA,NA,NA,NA,NA,NA,NA,11.1603,1.2357,0,12.396,3575.6768049571,348.22069543045,38.65,0.0034668,32.072445
"SFE-M-1S","SFE-M","2023-08-14","TAC",0,0,0,19.5394277739009,13.2588974180042,0,26.5177948360084,0,0,0,18.1437543614794,0,15.3524075366364,0,0.209351011863224,6.97836706210746,0,0,0,0,0,8.14,25.6,7.48,249,4.712,0.0305,0.00619,8.14,9.137,0.769,NA,NA,NA,NA,NA,NA,NA,53.561,7.018,0,60.579,5609.08642651145,830.855748335978,51.31,0.0108002,118.0647047
"SFE-M-1S","SFE-M","2023-08-22","TAC",0,0,0,18.8269370021723,13.0340333091962,0,21.7233888486604,0,0,0,15.9304851556843,0,18.1028240405504,0,0.0724112961622012,10.1375814627082,0,2.17233888486604,0,0,0,7.9,23.1,6.94,262,6.351,0.036,0.00947,7.9,13.66,0.598,NA,NA,NA,NA,NA,NA,NA,20.565,3.215,0,23.78,3818.7901385011,510.96252696693,37.63,0.0062271,63.1942599
"SFE-M-1S","SFE-M","2023-08-28","TAC",0,0,0,13.8364779874214,7.54716981132075,0,40.251572327044,0,0,0,19.496855345912,0,8.80503144654089,0,0,9.43396226415094,0.628930817610062,0,0,0,0,8.02,22.9,7.32,261,5.3075,0.0285,0.00756,8.02,14.925,0.8515,NA,NA,NA,NA,NA,NA,NA,10.67,1.928,0,12.598,5188.28215676862,1178.74974521578,37.63,0.0024282,33.4786075
"SFE-M-1S","SFE-M","2023-09-04","TAC",0,0,0,25.3012048192771,12.0481927710843,0,26.5060240963855,0,0,0,3.6144578313253,0,16.8674698795181,0,2.40963855421687,13.2530120481928,0,0,0,0,0,7.96,21.5,8.06,259,5.189,0.025,0.00701,7.96,10.59,0.457,NA,NA,NA,NA,NA,NA,NA,2.615,0.298,0,2.913,5366.35985128895,762.26579660674,44.663,0.0005428,6.5221772
"SFE-M-1S","SFE-M","2023-09-12","TAC",0,0,0,7.80572419774501,14.7441457068517,0,19.0806591500434,0,0,0.0867302688638335,0.173460537727667,0,11.2749349522984,0,0,13.009540329575,0,33.824804856895,0,0,0,7.94,21.4,7.17,255,5.151,0.028,0.007655,7.94,13.54,0.489,NA,NA,NA,NA,NA,NA,NA,0.027,0,0,0.027,3392.94145744772,192.950213877402,29.97,8e-06,0.0900901
"SFE-M-1S","SFE-M","2023-09-18","TAC",0,0,0,12.8824476650564,35.426731078905,0,11.2721417069243,0,0,0,0,0,20.9339774557166,0,0.161030595813205,19.3236714975845,0,0,0,0,0,7.91,21.9,7.07,257,6.953,0.028,0.01542,7.91,13.49,0.401,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3411.62120500362,176.419128622379,30.88,0,0
"SFE-M-1S","SFE-M","2023-09-24","TAC",0,0,0,16.8539325842697,28.0898876404494,0,14.0449438202247,0,0,0,0.140449438202247,0,19.6629213483146,0,0.140449438202247,21.0674157303371,0,0,0,0,0,7.94,19.2,8.08,254,5.085,0.035,0.00687,7.94,13.1,0.467,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,3120.76779741245,170.879367154504,42.34,0,0
"SFE-M-2","SFE-M","2023-07-24","TAC",0,0,0,22,30,0,17.6666666666667,0,0,0,1.4,0,14.6666666666667,0,0.2,14,0.0666666666666667,0,0,0,0,8.3,24,8.01,213,3.911,0.01,9e-04,8.3,9.02,0.791,NA,NA,NA,NA,NA,NA,NA,1.423,0.165,0,1.588,4815.92129451,404.782004878345,32.69,0.0003297,4.8577547
"SFE-M-2","SFE-M","2023-07-31","TAC",0,0,1.14130434782609,17.3913043478261,1.63043478260869,0,27.6630434782609,0,19.0217391304348,0,9.2391304347826,0,15.2173913043478,0,3.26086956521739,5.43478260869565,0,0,0,0,0,8.33,23.7,8.27,210,3.241,0.01,9e-04,8.33,7.207,0.597,NA,NA,NA,NA,NA,NA,NA,4.227,0.792,0,5.019,4001.80999640136,370.758142212548,33.93,0.0012542,14.7922193
"SFE-M-2","SFE-M","2023-08-07","TAC",0,0,0,48.1481481481482,0,0,17.2839506172839,0,0,0,7.40740740740739,0,14.8148148148148,0,0,12.3456790123457,0,0,0,0,0,8.33,24.1,8.03,234,3.977,0.012,0.00493,8.33,11.58,0.872,NA,NA,NA,NA,NA,NA,NA,1.144,0.088,0,1.232,1685.68029733087,96.5166503430095,13.1,0.0007309,9.4045802
"SFE-M-2","SFE-M","2023-08-14","TAC",0,0,2.30680507497116,19.6078431372549,5.76701268742792,0,29.9884659746252,0.115340253748558,6.34371395617071,0,10.957324106113,0,20.1845444059977,0,0.0576701268742792,4.61361014994233,0.0576701268742792,0,0,0,0,8.15,26.6,7.75,248,3.97,0.011,0.00348,8.15,10.07,0.714,NA,NA,NA,NA,NA,NA,NA,45.657,5.695,0,51.352,3755.75953158364,129.204177042087,29.08,0.0136729,176.5887208
"SFE-M-2","SFE-M","2023-08-22","TAC",0,0,0,20.3291384317522,20.3291384317522,0,9.68054211035818,0,0,0,17.4249757986447,0,18.3930300096805,0,0.0968054211035818,13.5527589545014,0.193610842207164,0,0,0,0,8.08,23.1,7.4,262,5.972,0.037,0.01886,8.08,11.3,1.394,NA,NA,NA,NA,NA,NA,NA,5.981,0.942,0,6.923,2857.74157186741,269.858350441835,19.93,0.0024225,34.736578
"SFE-M-2","SFE-M","2023-09-04","TAC",0,0,0.749829584185413,12.2699386503068,12.9516019086571,0.0681663258350375,10.906612133606,0,0,0,1.43149284253579,0,24.5398773006135,0.749829584185413,26.5848670756647,9.54328561690525,0.204498977505112,0,0,0,0,8.06,22.1,7.82,259,5.232,0.034,0.00693,8.06,9.429,0.389,NA,NA,NA,NA,NA,NA,NA,0.013,0,0,0.013,1544.58503114521,41.8749137901605,14.23,8.4e-06,0.0913563
"SFE-M-2","SFE-M","2023-09-18","TAC",0,0,1.79640718562875,12.5748502994012,8.38323353293415,0,19.7604790419161,0,0,0,4.19161676646707,0,32.9341317365269,0,14.37125748503,5.98802395209581,0,0,0,0,0,8.07,22.5,7.93,256,5.661,0.027,0.00757,8.07,12.37,0.431,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2641.1882431706,93.8597328788028,15.13,0,0
"SFE-M-2","SFE-M","2023-09-24","TAC",0.113895216400911,0,0.341685649202734,17.0842824601367,13.6674259681093,0,14.8063781321185,0,0,0,0.341685649202734,0,20.501138952164,0.113895216400911,22.7790432801822,10.250569476082,0,0,0,0,0,8.1,19.1,8.83,252,4.8365,0.027,0.00788,8.1,10.2385,0.6965,NA,NA,NA,NA,NA,NA,NA,0,0,0.0093,0.0093,2450.89043744022,135.915073465159,24.345,3.8e-06,0.0382009
"SFE-M-3","SFE-M","2022-07-14","TAC",0,0,0,19.5767195767196,6.87830687830689,0,38.8359788359788,0,0,0.105820105820106,1.11111111111111,0.105820105820106,19.047619047619,0.52910052910053,0,13.7566137566138,0,0,0,0,0.052910052910053,NA,23.63,10.255,229.6,4.093,0.011,0.00516,8.88,11.9,0.5737,6.29,10.61,0.09,9.43,0.96,9.83,14.86,0.542,0.0693,0,0.6113,3517.8469892189,1162.42473948808,31.74,0.0001738,1.9259609
"SFE-M-3","SFE-M","2022-07-28","TAC",0,0,0,15.6565656565657,6.56565656565656,0,52.3737373737373,0,0,0,3.03030303030303,0,14.1414141414142,0.505050505050504,0.151515151515151,7.57575757575758,0,0,0,0,0,8.88,25.83,10.77,216.9,5.73,0.006,0.00335,8.88,18.55,0.9554,6.61,10.53,0.005,9.6,1,9.02,18.11,4.279,0.44,0,4.719,8248.48141445624,1348.80755624819,49.017,0.0005721,9.6272722
"SFE-M-3","SFE-M","2022-08-10","TAC",0,0,0,26.8817204301075,5.37634408602151,0,22.273425499232,0,0,0,0.921658986175116,0,28.4178187403994,0,0,16.1290322580645,0,0,0,0,0,8.63,24.71,10.236,240.3,3.68,0.028,0.06271,8.63,14.49,2.551,7,10.46,0.08,9.94,1.02,10.08,12.11,1.894,0.151,0,2.045,5553.04235694961,677.695569420401,46.4,0.0003683,4.4073276
