"site_reach","site","field_date","sample_type","anabaena_and_cylindrospermum","ankistrodesmus","aphanothece","calothrix","chantransia","chroococcus","cladophora","closterium","coelastrum","cosmarium","desmodesmus_spines","epithemia","euglenoid","geitlerinema","gloeocystis","gloeotrichia","homoeothrix","lacunastrum","leptolyngbya","lyngbya","microcoleus","mougeotia","non_e_r_diatoms","nostoc","oedogonium","oocystis","oscillatoria","other_coccoids","pediastrum","phormidium_unknown","rhopalodia","rivularia","scenedesmus_no_spines","scytonema","spirogyra","stauridium","stigeoclonium","tetraedron","tolypothrix","ulothrix","unknown","unknown_green_algae","zygnema","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","TM_ATX_all_ug_chla_ug","TM_ATX_all_ug_orgmat_g","TAC_ATX_all_ug_chla_ug","TAC_ATX_all_ug_orgmat_g"
"SAL-2","SAL","2023-07-27","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0.48780487804878,0,0,0,0,19.5121951219512,0,34.1463414634146,0,34.1463414634146,0,0,0,0,1.46341463414634,0,0,0,0,0,0,0,0,10.2439024390244,0,0,0,0,0,0,7.95,20.6,8.45,108.9,4.98,0.012,0.00096,7.95,6.798,0.632,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"SAL-2","SAL","2023-08-10","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0.050251256281407,0,0,0.050251256281407,0,4.52261306532663,0,88.643216080402,0,6.53266331658291,0,0,0,0,0.150753768844221,0,0,0,0,0.050251256281407,0,0,0,0,0,0,0,0,0,0,7.92,20.9,8.32,126.6,5.906,0.011,0.00097,7.92,7.558,0.614,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"SAL-3","SAL","2022-06-27","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,2.08333333333333,0,0,0,64.5833333333333,0,0,0,0,6.25,0,0,0,0,0,0,0,0,2.08333333333333,0,0,0,0,0,0,NA,20.49,9.492,NA,7.795,0.031,0.00797,8.11,8.974,2.688,0.9,3.44,0.06,2.24,0.65,3.05,16.22,NA,NA,NA,NA
"SAL-3","SAL","2022-07-12","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,7.8125,0,0,31.5104166666667,0,18.4895833333333,0,2.60416666666667,0,23.4375,0,0,0,0,5.46875,0,0,0,0,0.260416666666667,0,0,0,10.4166666666667,0,0,0,0,0,0,NA,22.59,9.087,113.3,6.9675,0.019,0.01374,8.11,10.72,2.31,1.11,3.64,0.05,2.46,0.74,3.58,13.34,0,0,NA,NA
"SAL-3","SAL","2022-07-26","NT",0,0,0,0,0,0,0,0,0,0,0.315457413249211,0.315457413249211,0,0,0,0,25.2365930599369,0,18.9274447949527,0,6.30914826498423,0,37.8548895899054,0,0,0,0,0.946372239747634,0,0,0,0,0.315457413249211,0,0,0,9.77917981072555,0,0,0,0,0,0,NA,22.13,9.215,121.5,5.63,0.008,0.00792,8.11,12.95,0.5312,1.37,3.69,0.005,2.78,0.81,3.84,15.87,0,0,NA,NA
"SAL-3","SAL","2022-09-22","NT",0.0760456273764259,0,0,0,0.380228136882129,0.0760456273764259,0,0,0,0,0,7.22433460076046,0,3.42205323193916,0.0760456273764259,0,0.760456273764259,0,1.52091254752852,0,0.418250950570342,17.8707224334601,15.9695817490494,0,1.90114068441065,0,0,1.14068441064639,0,0.0380228136882129,5.70342205323194,0,0.0380228136882129,0,43.3079847908745,0.0380228136882129,0,0,0,0,0,0.0380228136882129,0,8.11,17.33,NA,123.3,5.684,0.0135,0.01223,8.11,9.778,0.48925,1.775,3.455,0.045,2.615,0.69,3.535,13.75,NA,NA,0,0
"SAL-3","SAL","2023-06-28","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,3.36391437308869,0,0,0.305810397553517,0,18.348623853211,0.305810397553517,0.305810397553517,0,76.4525993883792,0,0,0,0,0.917431192660551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.12,17.4,9.02,83.1,5.178,0.018,0.00096,8.12,3.903,0.619,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"SAL-3","SAL","2023-07-13","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.972027972028,0,0,0,69.9300699300699,0,0,0,0,2.0979020979021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.01,19.9,9.01,99.2,5.0375,0.012,0.00423,8.01,6.858,0.962,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"SAL-3","SAL","2023-07-27","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.689655172413793,0,13.7931034482759,0,41.3793103448276,0,41.3793103448276,0,0,0,0,2.06896551724138,0,0,0,0,0,0,0,0,0.689655172413793,0,0,0,0,0,0,7.94,21.6,7.99,109.5,4.841,0.0135,0.00226,7.94,6.492,1.4915,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"SAL-3","SAL","2023-08-10","NT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.06122448979592,0,21.4285714285714,0,71.4285714285714,0,0,0,0,3.06122448979592,0,0,0,0,0,0,0,0,1.02040816326531,0,0,0,0,0,0,7.75,22,8.33,127.8,6.048,0.011,0.004485,7.75,8.488,0.437,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
"SFE-M-1S","SFE-M","2022-06-29","NT",2.0671834625323,0,0,0,0,0,20.1550387596899,0,0.284237726098191,0,0,1.29198966408269,0,1.03359173126615,0,0,0.0258397932816537,0,0.258397932816538,0,19.7416020671835,0,5.94315245478036,44.9095607235142,0.516795865633075,0,0,3.35917312661499,0,0,0,0,0.387596899224806,0,0,0,0,0,0,0,0.0258397932816537,0,0,NA,20.33,8.374,NA,5.8015,0.011,0.00731,8.9,17.54,3.287,5.39,9.76,0.07,8.56,0.88,9.76,9.75,0,0,NA,NA
"SFE-M-1S","SFE-M","2022-07-14","NT",3.55509355509355,0.0207900207900208,0,0.0207900207900208,0,0,27.4844074844075,0,0,0,0.415800415800416,5.1975051975052,0,2.07900207900208,0,0,0.665280665280665,0.0415800415800416,0.27027027027027,0,0.0207900207900208,0.852390852390852,5.1975051975052,42.7234927234927,0,0,0,2.07900207900208,0,0,0.852390852390852,0,0.415800415800416,0,8.10810810810811,0,0,0,0,0,0,0,0,NA,21.71,9.507,223.3,5.353,0.017,0.00463,8.9,16.17,0.7605,6.04,10.78,0.1,9.37,0.93,9.77,18.02,0,0,0.0002415,2.0375685
"SFE-M-1S","SFE-M","2022-07-28","NT",8.78186968838527,0,0,0.028328611898017,0,0,14.1926345609065,0,0.056657223796034,0.056657223796034,0.141643059490085,14.7308781869688,0,2.26628895184136,0,0,0,0,0.56657223796034,0,6.23229461756374,1.41643059490085,9.06515580736544,17.7620396600567,2.26628895184136,0,0,1.41643059490085,0.056657223796034,0,0.906515580736544,1.69971671388102,0.198300283286119,0,18.1303116147309,0,0,0,0,0,0.028328611898017,0,0,8.9,24.49,9.364,216.4,3.901,0.006,0.00291,8.9,16.2,0.751,6.57,11.04,0.11,9.56,0.97,8.87,19.96,0.0001052,0.6402563,0.0007105,10.9846586
"SFE-M-1S","SFE-M","2022-08-10","NT",9.53488372093023,0.0232558139534884,0,0.0697674418604651,0,0.232558139534884,6.51162790697674,0,0.0232558139534884,0,0.209302325581395,11.8604651162791,0,2.32558139534884,0,0,0.0232558139534884,0,1.16279069767442,0.0232558139534884,9.76744186046512,1.16279069767442,5.34883720930233,0,10,0,0,2.32558139534884,0,0,3.02325581395349,4.18604651162791,0.441860465116279,0,31.6511627906977,0.0697674418604651,0,0,0,0,0.0232558139534884,0,0,8.55,21.81,8.855,230.6,3.7375,0.0325,0.04816,8.55,16.18,4.512,7.12,10.78,0.3,9.96,1.1,10.26,10.57,0.00048,6.0798106,0.0110387,155.2359736
