"site","site_reach","field_date","sample_type","aphanothece","calothrix","chroococcus","e_diatoms","geitlerinema","gloeotrichia","homoeothrix","leptolyngbya","lyngbya","microcoleus","nodularia","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","rivularia","scytonema","tolypothrix","unknown"
"SFE-M","SFE-M-1S","2023-07-17","TAC",0,0,0,40.650406504065,20.9059233449477,0,0,0,0,0.116144018583043,0,27.8745644599303,0,0,10.4529616724739,0,0,0,0,0
"SFE-M","SFE-M-1S","2023-07-24","TAC",0,0,0,38.4615384615385,18.6813186813187,0,0,0,0,0,0,31.8681318681319,0,0,7.69230769230769,0,3.2967032967033,0,0,0
"SFE-M","SFE-M-1S","2023-07-31","TAC",0,0,1.49786019971469,31.3837375178316,5.70613409415122,0,5.70613409415122,12.8388017118402,0,13.5520684736091,0.0713266761768903,22.8245363766048,0,0,6.41940085592011,0,0,0,0,0
"SFE-M","SFE-M-1S","2023-08-07","TAC",0,0.0812347684809098,0,26.8074735987003,14.6222583265637,0,0,0,0,5.68643379366368,0,16.246953696182,0,0,8.12347684809098,0,28.4321689683185,0,0,0
"SFE-M","SFE-M-1S","2023-08-14","TAC",0,0,0,26.5906932573599,18.0436847103514,0,0,0,0,24.6913580246914,0,20.8926875593542,0,0.284900284900285,9.49667616334282,0,0,0,0,0
"SFE-M","SFE-M-1S","2023-08-22","TAC",0,0,0,24.0518038852914,16.6512488436633,0,0,0,0,20.3515263644773,0,23.1267345050879,0,0.0925069380203514,12.9509713228492,0,2.77520814061054,0,0,0
"SFE-M","SFE-M-1S","2023-08-28","TAC",0,0,0,23.1578947368421,12.6315789473684,0,0,0,0,32.6315789473685,0,14.7368421052632,0,0,15.7894736842105,1.05263157894737,0,0,0,0
"SFE-M","SFE-M-1S","2023-09-04","TAC",0,0,0,34.4262295081967,16.3934426229508,0,0,0,0,4.91803278688524,0,22.9508196721311,0,3.27868852459016,18.0327868852459,0,0,0,0,0
"SFE-M","SFE-M-1S","2023-09-12","TAC",0,0,0,9.64630225080386,18.2207931404073,0,0,0,0.107181136120043,0.214362272240086,0,13.9335476956056,0,0,16.0771704180064,0,41.8006430868167,0,0,0
"SFE-M","SFE-M-1S","2023-09-18","TAC",0,0,0,14.519056261343,39.9274047186933,0,0,0,0,0,0,23.5934664246824,0,0.181488203266788,21.7785843920145,0,0,0,0,0
"SFE-M","SFE-M-1S","2023-09-24","TAC",0,0,0,19.6078431372549,32.6797385620915,0,0,0,0,0.163398692810458,0,22.875816993464,0,0.163398692810458,24.5098039215686,0,0,0,0,0
"SFE-M","SFE-M-2","2023-07-24","TAC",0,0,0,26.7206477732794,36.4372469635627,0,0,0,0,1.7004048582996,0,17.8137651821862,0,0.242914979757085,17.004048582996,0.0809716599190283,0,0,0,0
"SFE-M","SFE-M-2","2023-07-31","TAC",0,0,1.57776108189331,24.0420736288504,2.25394440270472,0,0,26.2960180315553,0,12.7723516153268,0,21.0368144252442,0,4.50788880540947,7.51314800901578,0,0,0,0,0
"SFE-M","SFE-M-2","2023-08-07","TAC",0,0,0,58.2089552238807,0,0,0,0,0,8.95522388059699,0,17.910447761194,0,0,14.9253731343283,0,0,0,0,0
"SFE-M","SFE-M-2","2023-08-14","TAC",0,0,3.29489291598023,28.0065897858319,8.23723228995059,0,0.164744645799012,9.06095551894565,0,15.6507413509061,0,28.830313014827,0,0.0823723228995059,6.58978583196046,0.0823723228995059,0,0,0,0
"SFE-M","SFE-M-2","2023-08-22","TAC",0,0,0,22.508038585209,22.508038585209,0,0,0,0,19.2926045016077,0,20.3644158628081,0,0.107181136120043,15.005359056806,0.214362272240086,0,0,0,0
"SFE-M","SFE-M-2","2023-09-04","TAC",0,0,0.841622035195103,13.7719969395562,14.5371078806427,0.0765110941086457,0,0,0,1.60673297628156,0,27.5439938791124,0.841622035195103,29.8393267023719,10.7115531752104,0.229533282325937,0,0,0,0
"SFE-M","SFE-M-2","2023-09-18","TAC",0,0,2.23880597014926,15.6716417910448,10.4477611940299,0,0,0,0,5.22388059701492,0,41.0447761194029,0,17.910447761194,7.46268656716418,0,0,0,0,0
"SFE-M","SFE-M-2","2023-09-24","TAC",0.133689839572193,0,0.401069518716579,20.0534759358289,16.0427807486631,0,0,0,0,0.401069518716579,0,24.0641711229947,0.133689839572193,26.7379679144385,12.0320855614973,0,0,0,0,0
"SFE-M","SFE-M-3","2022-07-14","TAC",0,0,0,32.0069204152249,11.2456747404845,0,0,0,0.173010380622838,1.8166089965398,0.173010380622838,31.1418685121107,0.865051903114188,0,22.4913494809689,0,0,0,0,0.0865051903114188
"SFE-M","SFE-M-3","2022-07-28","TAC",0,0,0,32.8738069989396,13.7857900318133,0,0,0,0,6.36267232237538,0,29.6924708377519,1.06044538706256,0.318133616118769,15.9066808059385,0,0,0,0,0
"SFE-M","SFE-M-3","2022-08-10","TAC",0,0,0,34.5849802371541,6.91699604743085,0,0,0,0,1.18577075098814,0,36.5612648221344,0,0,20.7509881422925,0,0,0,0,0
"SFE-M","SFE-M-3","2022-08-23","TAC",0,0,0,36.2903225806452,13.4408602150538,0,0,0,0,0.403225806451613,0.134408602150538,33.6021505376344,0,0,16.1290322580645,0,0,0,0,0
"SFE-M","SFE-M-3","2023-07-24","TAC",0,0,0,35.2459016393443,11.4754098360656,0,0,0,0,0,0,18.8524590163934,12.2950819672131,0,17.2131147540983,0,4.91803278688524,0,0,0
"SFE-M","SFE-M-3","2023-07-31","TAC",0,0.0818330605564649,5.72831423895253,31.0965630114566,4.9099836333879,0,0.818330605564649,8.18330605564649,0,16.366612111293,0,14.7299509001637,10.6382978723404,0,7.36497545008184,0.0818330605564649,0,0,0,0
"SFE-M","SFE-M-3","2023-08-07","TAC",0,0,0,33.2986472424558,0,0,0,0,0,6.24349635796045,0.104058272632674,27.0551508844954,19.7710718002081,0,13.5275754422476,0,0,0,0,0
