"site_reach","site","field_date","sample_type","anabaena_and_cylindrospermum","aphanothece","calothrix","chroococcus","e_diatoms","geitlerinema","gloeotrichia","green_algae","homoeothrix","leptolyngbya","lyngbya","microcoleus","nodularia","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","rivularia","scytonema","tolypothrix","unknown","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","ATXa_ug_g","dhATXa_ug_g","HTXa_ug_g","ATX_all_ug_g","Chla_ug_g","Pheo_ug_g","percent_organic_matter","ATX_all_ug_chla_ug","ATX_all_ug_orgmat_g"
"SFE-SH-1S","SFE-SH","2023-08-14","TM",1.05263157894737,0,0,0,10.5263157894737,0,0,21.0526315789474,0,0,0,54.7368421052632,0,10.5263157894737,0,0,2.10526315789474,0,0,0,0,0,7.9,22.7,7.44,236,4.194,0.035,0.00712,7.9,10.17,0.446,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,13416.9863558644,339.210596435536,75.28,0,0
"SFE-SH-1S","SFE-SH","2023-08-22","TM",0.105263157894737,0,0,0,1.05263157894737,0,0,2.10526315789474,0,0,0,86.2105263157895,0,2.10526315789474,0,0,8.42105263157895,0,0,0,0,0,7.88,21.1,7.34,238,5.54,0.038,0.00455,7.88,12.265,0.401,NA,NA,NA,NA,NA,NA,NA,1.421,0.29,0,1.711,19096.4291911836,2006.1779813486,77.43,8.96e-05,2.2097378
"SFE-SH-1S","SFE-SH","2023-08-28","TM",0,0,0,0,6.25,0,0,8.33333333333333,0,0,0,76.0416666666667,0,4.16666666666667,0,0,5.20833333333333,0,0,0,0,0,7.98,20.6,8.47,240,4.853,0.031,0.00394,7.98,10.97,0.532,NA,NA,NA,NA,NA,NA,NA,5.8297,1.3563,0,7.186,13563.5726001237,489.229098535249,75.803,0.0005298,9.4798359
"SFE-SH-1S","SFE-SH","2023-09-04","TM",0,0,0,0,2.22222222222222,0,0,8.88888888888889,0,0,0,78.8888888888889,0,5.55555555555556,0,0,4.44444444444444,0,0,0,0,0,8.02,19.7,8.46,235,4.881,0.022,0.008355,8.02,11.74,0.378,NA,NA,NA,NA,NA,NA,NA,7.714,1.961,0,9.675,13816.2247697288,399.439321318414,80.37,0.0007003,12.0380739
"SFE-SH-1S","SFE-SH","2023-09-12","TM",0,0,0,0,4.21052631578947,0,0,6.31578947368421,0,0,0,83.1578947368421,0,3.15789473684211,0,0,3.15789473684211,0,0,0,0,0,7.98,19.3,8.37,232,4.225,0.021,0.00096,7.98,13.03,0.331,NA,NA,NA,NA,NA,NA,NA,4.583,0.561,0,5.144,4588.12796822413,6374.05012687974,76.93,0.0011212,6.6865982
"SFE-SH-1S","SFE-SH","2023-09-18","TM",0,0,0,0,2.22222222222222,0,0,22.2222222222222,0,0,0,64.4444444444444,0,3.33333333333333,0,0,6.66666666666667,0,0,1.11111111111111,0,0,7.97,19.9,8.34,232,4.806,0.03,0.00598,7.97,17.42,0.151,NA,NA,NA,NA,NA,NA,NA,7.295,1.009,0,8.304,14109.5956538144,1550.59921403266,79.33,0.0005885,10.4676667
"SFE-SH-1S","SFE-SH","2023-09-24","TM",0,0,0,0,2.08333333333333,0,0,12.5,0,0,0,73.8541666666667,0,8.33333333333333,0,0.104166666666667,3.125,0,0,0,0,0,7.95,17.6,8.86,231,4.928,0.024,0.0068,7.95,14.21,0.333,NA,NA,NA,NA,NA,NA,NA,6.946,0.705,0,7.651,10386.2485627078,1911.70752016521,81.26,0.0007366,9.4154566
"SAL-1S","SAL","2023-07-13","TM",0,0,0,0,0,1.35287485907554,0,2.36753100338219,0,0.112739571589628,0,73.2807215332582,0,22.5479143179256,0,0,0.338218714768884,0,0,0,0,0,7.81,18.7,9.12,100.1,4.702,0.009,0.004885,7.81,5.766,1.609,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1797.46468755555,75.2013476435363,24.135,0,0
"SAL-1S","SAL","2023-07-27","TM",0,0,0,0,0,2.69723533378287,0,2.69723533378287,0,0,0,80.2427511800405,0,14.1604855023601,0,0,0.202292650033715,0,0,0,0,0,7.82,20.3,8.61,109.5,5.296,0.023,0.00477,7.82,7.566,0.957,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,2224.05129728226,23.4464793259217,19.92,0,0
"SAL-2","SAL","2023-07-13","TM",0,0,0,0,0,1.96998123827392,0,1.12570356472796,0,0.938086303939962,0,70.3564727954972,0,25.328330206379,0,0,0.281425891181989,0,0,0,0,0,7.93,19.3,8.99,99.3,4.825,0.0115,0.0045,7.93,5.5215,0.821,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1689.30946788263,104.822528257986,19.91,0,0
