"site_reach","site","field_date","sample_type","anabaena_and_cylindrospermum","aphanothece","calothrix","chroococcus","e_diatoms","geitlerinema","gloeotrichia","green_algae","homoeothrix","leptolyngbya","lyngbya","microcoleus","nodularia","non_e_diatoms","nostoc","oscillatoria","other_coccoids","phormidium_unknown","rivularia","scytonema","tolypothrix","unknown","pH","temp_C","DO_mg_L","cond_uS_cm","oPhos_ug_P_L","nitrate_mg_N_L","ammonium_mg_N_L","assumed_pH","TDC_mg_L","DOC_mg_L","Cl_mg_L","SO4_mg_L","Br_mg_L","Na_mg_L","K_mg_L","Mg_mg_L","Ca_mg_L","ATXa_ug_g","dhATXa_ug_g","HTXa_ug_g","ATX_all_ug_g","Chla_ug_g","Pheo_ug_g","percent_organic_matter","ATX_all_ug_chla_ug","ATX_all_ug_orgmat_g"
"RUS-3","RUS","2022-07-20","TAC",15.4121863799283,0,0,0,4.3010752688172,2.5089605734767,0,66.6666666666667,0,0,0,0,0,5.37634408602151,0,0,5.73476702508961,0,0,0,0,0,NA,24.68,11.067,266.2,9.796,0.009,0.00245,8.4,19.84,2.171,6.84,12.19,0.13,10.37,1.18,14.77,14.1,0,0,0,0,3299.08397733518,400.976823586325,37.71,0,0
"RUS-3","RUS","2022-08-02","TAC",20.7272727272727,0,0,0,5.81818181818182,2.90909090909091,0,59.6363636363636,0,0,0,0,0,7.27272727272727,0,0,3.63636363636364,0,0,0,0,0,8.4,24.27,13.04,255.9,7.386,0.007,0.00721,8.4,20.09,2.391,6.25,11.25,0.1,9.67,1.15,14.35,10.05,0,0,0,0,4091.49488127995,827.645721928693,31.81,0,0
"RUS-3","RUS","2022-08-17","TAC",31.7063492063492,0,0,0,18.2539682539683,7.53968253968254,0,16.2698412698413,0,0,0,0.0396825396825397,0,19.4444444444444,0.396825396825397,0,6.34920634920635,0,0,0,0,0,8.53,24.33,10.854,236.8,6.809,0.02,0.00691,8.53,21.42,2.102,6.46,11.24,0.12,9.83,1.11,13.99,13.07,0,0.239,0,0.239,4883.71266422706,590.170937597246,33.33,4.89e-05,0.7170717
"RUS-3","RUS","2022-09-01","TAC",22.4719101123595,0,0,0,7.11610486891386,4.11985018726592,0,42.5842696629214,0,0,3.74531835205993,0.112359550561798,0,10.4868913857678,0,1.12359550561798,4.8689138576779,1.12359550561798,0,0,0,2.24719101123596,8.56,22.8,10.743,239.6,8.284,0.011,0.00484,8.56,19.44,2.101,6.38,11.15,0.11,9.81,1.15,14.5,11.28,0.377,0.964,0,1.341,1842.94613041894,653.905526281404,25.22,0.0007276,5.3172086
"RUS-3","RUS","2022-09-15","TAC",16.1016949152542,0,0,0,5.50847457627119,7.6271186440678,0,32.9661016949153,0,0,0,0.0847457627118644,0,15.6779661016949,0,4.23728813559322,9.32203389830508,8.47457627118644,0,0,0,0,8.36,20.066,11.202,NA,9.421,0.019,0.007685,8.36,19.33,2.061,6.18,10.55,0.12,9.73,1.13,13.79,14.87,0.292,0.1683,0,0.4603,1725.72259517701,641.846897710919,21.58,0.0002667,2.1329935
"SAL-3","SAL","2022-09-22","TAC",23.109243697479,0,0,0,10.5042016806723,7.98319327731093,0,33.0252100840336,0,0,0,0.126050420168067,0,15.546218487395,0,0.420168067226891,9.2436974789916,0.0420168067226891,0,0,0,0,8.11,17.33,NA,123.3,5.684,0.0135,0.01223,8.11,9.778,0.48925,1.775,3.455,0.045,2.615,0.69,3.535,13.75,0,0,0,0,2249.71562608797,1155.62040282648,38.501,0,0
"SFE-M-1S","SFE-M","2022-07-14","TAC",26.9896193771626,0,0,0,15.916955017301,1.73010380622837,0,37.5432525951557,0,0,0,0.0692041522491349,0.0692041522491349,14.878892733564,0.0346020761245675,0,2.7681660899654,0,0,0,0,0,NA,21.71,9.507,223.3,5.353,0.017,0.00463,8.9,16.17,0.7605,6.04,10.78,0.1,9.37,0.93,9.77,18.02,0.781,0,0,0.781,3234.07962958796,963.076998443193,38.33,0.0002415,2.0375685
"SFE-M-1S","SFE-M","2022-07-28","TAC",22.7611940298507,0,0,0,17.1641791044776,3.35820895522388,0,44.2910447761194,0,0,0,0.111940298507463,0,11.1940298507463,0,0,1.11940298507463,0,0,0,0,0,8.9,24.49,9.364,216.4,3.901,0.006,0.00291,8.9,16.2,0.751,6.57,11.04,0.11,9.56,0.97,8.87,19.96,4.4737,0.61,0,5.0837,7154.80398129149,1436.09982656204,46.28,0.0007105,10.9846586
"SFE-M-1S","SFE-M","2022-08-10","TAC",56.5949820788531,0,0,0,5.01792114695341,5.37634408602151,0,12.5448028673835,0,0,0,11.1111111111111,0,5.37634408602151,0,0.03584229390681,3.9426523297491,0,0,0,0,0,8.55,21.81,8.855,230.6,3.7375,0.0325,0.04816,8.55,16.18,4.512,7.12,10.78,0.3,9.96,1.1,10.26,10.57,72.138,21.935,0,94.073,8522.11664931474,793.773801365911,60.6,0.0110387,155.2359736
"SFE-M-1S","SFE-M","2022-09-06","TAC",18.5770750988142,0,0,0,9.09090909090909,1.18577075098814,0,35.1383399209486,0,0,0,0.0395256916996047,0,19.3675889328063,9.09090909090909,0,7.5098814229249,0,0,0,0,0,8.17,22.466,7.399,NA,6.473,0.024,0.00868,8.17,16.7,0.6444,7.92,11.66,0.1,10.52,1.11,11.1,15.91,0,0,0,0,2227.16683129192,673.366466376277,45.34,0,0
